GeneSymbol,GSM1498849,GSM1498850,GSM1498851,GSM1498852,GSM1498853,GSM1498854,GSM1498855,GSM1498856
SLC12A4,7.50352325,7.5580296,7.59025085,7.523457575,7.2465622,7.27654745,6.874585275,6.88492085
SLC12A5,4.86458,4.032315,4.0337996,4.9929338,3.5070896,3.2646692,3.8197377,4.0207553
SLC12A6,5.592524,4.757194,4.562006,5.486954,4.503449,4.627109,3.8944192,4.2937217
SLC12A7,3.8980777,2.9124596,3.4746263,2.4148831,4.0254164,3.6747885,3.0166516,2.9251494
SLC12A8,6.4267097,6.858482,6.794657,6.3374166,6.0793176,6.197018,7.245809,7.2243795
SLC12A9,5.619304,4.782412,4.9335537,5.4431357,5.045284,5.0721245,4.6403894,4.475211
SLC13A1,3.0873058,3.897614,3.6615098,3.3272407,3.8713758,3.534452,2.3274074,2.3443875
SLC13A3,6.0731163,5.5370657,5.643297025,5.9615528,6.1876878,6.14611465,5.726173775,5.804265425
SLC13A5,14.053464,13.153563,13.124962,14.02646,14.042961,14.000315,13.541711,13.533492
SLC15A1,2.3671098,4.051624,3.507624,2.4148831,4.308187,4.1321335,3.5364704,3.2986643
SLC15A2,4.9579276,4.58183215,4.82310975,5.113745,5.52029525,5.2223785,5.365759,5.2269575
